model,epoch,train_loss,train_hidden,train_observed,train_kl,train_arb,train_arb_calendar,train_arb_butterfly,val_loss,val_hidden,val_observed,val_kl,val_arb,val_arb_calendar,val_arb_butterfly
ConvVAE,11,0.13369767162061874,0.10258569696119853,0.09523096340043204,21.58887917654855,0.0,0.0,0.0,0.09196404467026392,0.06484552809485683,0.06473221042089992,20.645301345542624,0.0,0.0,0.0
ConvVAE,12,0.11164200511716661,0.08154183843779185,0.08054080586584787,22.046082257467603,0.0,0.0,0.0,0.08165570453361229,0.053821658370671446,0.05448425456329628,22.38561864782263,0.0,0.0,0.0
ConvVAE,13,0.10483023961858144,0.07557479379669069,0.07096490275765223,22.158951847136965,0.0,0.0,0.0,0.07636668582757314,0.048238182481792236,0.048932255142264895,23.23527306450738,0.0,0.0,0.0
ConvVAE,14,0.09869418747368314,0.06989155179924435,0.06618396788835526,22.184237646678138,0.0,0.0,0.0,0.07043524853609226,0.04517880818910069,0.04351116689266982,20.905319348088018,0.0,0.0,0.0
ConvVAE,15,0.08912569634498112,0.06200675978547051,0.05843079457916911,21.275854025946725,0.0,0.0,0.0,0.06422540849005734,0.0397321742993814,0.03829955019884639,20.66327713860406,0.0,0.0,0.0
ConvVAE,16,0.08923411400072158,0.06255778695146243,0.05668884634025513,21.00744267418271,0.0,0.0,0.0,0.06230470389127731,0.037155113010494796,0.037043916737591776,21.44520043267144,0.0,0.0,0.0
ConvVAE,17,0.08089877568067066,0.05561725742050579,0.05142924116244392,20.13859224470835,0.0,0.0,0.0,0.05817962037744345,0.03504040864882646,0.03412765449395886,19.72644788953993,0.0,0.0,0.0
ConvVAE,18,0.0756603889995151,0.05109866311152776,0.04735872400185419,19.825851616026863,0.0,0.0,0.0,0.06023202687501907,0.035914427124791676,0.035105569964205774,20.80704170509621,0.0,0.0,0.0
ConvVAE,19,0.07220204727990287,0.047546772043856364,0.044383907992215386,20.21688355339898,0.0,0.0,0.0,0.05856794899812451,0.03565157185550089,0.03432255975074238,19.484119634275082,0.0,0.0,0.0
ConvVAE,20,0.07078525276174621,0.046641455235935395,0.043158631085876434,19.827932539440337,0.0,0.0,0.0,0.055417029118096386,0.03194563220496531,0.03144344555007087,20.327051212169504,0.0,0.0,0.0
ConvVAE,21,0.07135474930206935,0.047191256970640215,0.041356125024576036,20.027877698625836,0.0,0.0,0.0,0.05552144290672408,0.031803023235665424,0.031096433185868792,20.60877338691994,0.0,0.0,0.0
ConvVAE,22,0.06659043409994671,0.04256093713735777,0.039998044605766024,20.029691205705916,0.0,0.0,0.0,0.0554787693200288,0.03234470528033045,0.03101278766989708,20.032783148023817,0.0,0.0,0.0
ConvVAE,23,0.06535886668023609,0.04213787258144409,0.0387773526448106,19.343260307917518,0.0,0.0,0.0,0.05191108313975511,0.029849453187651104,0.02901381234879847,19.16024386794479,0.0,0.0,0.0
ConvVAE,24,0.06304122298246338,0.040077244809695656,0.03805535818849291,19.158442221747503,0.0,0.0,0.0,0.05085653005926697,0.02886254119652289,0.027839705761935975,19.21001983218723,0.0,0.0,0.0
ConvVAE,25,0.0633045872998616,0.04067965020972585,0.03658257436657709,18.966678486173116,0.0,0.0,0.0,0.05335686093679181,0.030580357020651854,0.029490331836320736,19.827469274732803,0.0,0.0,0.0
ConvVAE,26,0.06112047882070617,0.03828694141573376,0.034638416873557225,19.369696577768476,0.0,0.0,0.0,0.049338072952297,0.02743435322686478,0.026156964980893666,19.2880206072772,0.0,0.0,0.0
ConvVAE,27,0.05992272386238689,0.0371910322161894,0.03473971804219579,19.25771849496024,0.0,0.0,0.0,0.04793631431681138,0.026119286042672617,0.025073826782129428,19.309645080566405,0.0,0.0,0.0
ConvVAE,28,0.05870351870618169,0.036456979148917726,0.03334638757838143,18.911899790688167,0.0,0.0,0.0,0.04959117433539143,0.02726018475713553,0.026359576097241155,19.69503158993191,0.0,0.0,0.0
ConvVAE,29,0.058175417638960336,0.03610582150637157,0.031914278504157824,18.878169801500107,0.0,0.0,0.0,0.04491810958694529,0.02373084962643959,0.022595330645088795,18.927723707976163,0.0,0.0,0.0
ConvVAE,30,0.055716070639235636,0.03391753316871703,0.031403393523087575,18.65819616166372,0.0,0.0,0.0,0.04407194993562168,0.02332083724991039,0.0221821092069149,18.532898330688475,0.0,0.0,0.0
ConvVAE,31,0.05490558457279962,0.033386139713582536,0.030152027249809296,18.50423960004534,0.0,0.0,0.0,0.0426256784134441,0.02172345397648988,0.020483515080478458,18.853873238740142,0.0,0.0,0.0
ConvVAE,32,0.0524253773429091,0.030832957157066892,0.02890824048173806,18.701595318506634,0.0,0.0,0.0,0.04218873202248856,0.020850941842352904,0.020079640312879173,19.329823331479673,0.0,0.0,0.0
ConvVAE,33,0.05340423974252882,0.0316313256228727,0.027893400304610766,18.98357276916504,0.0,0.0,0.0,0.04025168129139477,0.01917291743059953,0.01790932757710969,19.287829561586733,0.0,0.0,0.0
ConvVAE,34,0.050596389198114,0.028864243792163,0.024821955627865263,19.249948210943312,0.0,0.0,0.0,0.03846770483586523,0.017417817645602757,0.01640651852444366,19.40923447785554,0.0,0.0,0.0
ConvVAE,35,0.046891758780157757,0.025463512037245055,0.02311579342044535,19.116666908869668,0.0,0.0,0.0,0.03647129323195528,0.015730669473608336,0.014840751044728137,19.25654480545609,0.0,0.0,0.0
ConvVAE,36,0.046157736544098174,0.02484557982238512,0.02212754169272052,19.099401480054098,0.0,0.0,0.0,0.03573535451734507,0.015235378938140693,0.014257046042217149,19.07427003648546,0.0,0.0,0.0
ConvVAE,37,0.045317041164352784,0.02408431822227107,0.021683064700355605,19.064414784264944,0.0,0.0,0.0,0.0344176198873255,0.014267443962119243,0.013658027254320956,18.784373756691263,0.0,0.0,0.0
ConvVAE,38,0.045245813424625095,0.024111780512427527,0.021833308384058968,18.950700396583194,0.0,0.0,0.0,0.03777372403829186,0.016609715490981385,0.015465473783788857,19.617459897641783,0.0,0.0,0.0
ConvVAE,39,0.0436985273091566,0.022464731329726793,0.01941245947447088,19.292549151466005,0.0,0.0,0.0,0.032949066658814745,0.012578611641570373,0.012085848343041208,19.161869331642432,0.0,0.0,0.0
ConvVAE,40,0.04258848753949952,0.021998041365591307,0.01941194569780713,18.649250920613607,0.0,0.0,0.0,0.0340716863947886,0.01400335300023909,0.013413056186227887,18.727026776914244,0.0,0.0,0.0
ConvVAE,41,0.0418205407876817,0.02156013206593574,0.019849680145345036,18.275440022302053,0.0,0.0,0.0,0.03293210204552721,0.01303302097927641,0.01281477103906649,18.617604333383067,0.0,0.0,0.0
ConvVAE,42,0.04217854843489707,0.021848941535230666,0.019758425593849212,18.353762714446535,0.0,0.0,0.0,0.03213770836591721,0.012627683980045495,0.011823927273076993,18.327631137989187,0.0,0.0,0.0
ConvVAE,43,0.04412804132416135,0.023517482071405367,0.019758533698225778,18.634704178098648,0.0,0.0,0.0,0.031979601830244064,0.012230716659514992,0.011297580861934909,18.619126242178456,0.0,0.0,0.0
ConvVAE,44,0.04182536186916488,0.02126290626705639,0.01831491958527338,18.730963425409225,0.0,0.0,0.0,0.031767564253122715,0.012492655914414811,0.011550857078422,18.119821993509927,0.0,0.0,0.0
ConvVAE,45,0.04023241265898659,0.02074178887738122,0.018265385062448562,17.664085230751642,0.0,0.0,0.0,0.03168012635023506,0.012661563218743713,0.01221226790436992,17.797333441840276,0.0,0.0,0.0
ConvVAE+NA,1,1.1077639507868933,1.0065838811889527,1.011145141768077,0.0655505253209008,0.0,0.0,0.0,1.0933330641852486,0.9940113690164354,0.9886811472751477,0.4534367292015641,0.0,0.0,0.0
ConvVAE+NA,2,0.9304745416792612,0.8328485299670507,0.8452268519098797,7.737276555621435,0.00021464161079151497,8.825080375014188e-07,0.0002137590960450729,0.6403007396945247,0.5616199171101606,0.5661145426608898,22.069162827950937,9.20706178907336e-09,1.6910461010590938e-09,7.516015372217496e-09
ConvVAE+NA,3,0.5946313201435028,0.5244916133464329,0.5088585378631713,16.298407351781453,0.00011821861277447111,6.067746870793859e-07,0.00011761183611400026,0.3517763676466765,0.30568804288351975,0.31269264077698744,14.818686852631746,1.5131642309521947e-08,0.0,1.5131642309521947e-08
ConvVAE+NA,4,0.3618500864694989,0.31396501963100737,0.3097515126069387,10.784943559434678,0.00024499876452619134,2.170986574575754e-06,0.00024282777266639713,0.2783170398738649,0.2465820657986182,0.25189318458239235,6.545665419543231,1.2926335128100155e-17,3.7301274112918237e-19,1.2553322386970972e-17
ConvVAE+NA,5,0.29072753238299537,0.2546786461084608,0.2558731309005192,8.723554353865365,6.952061625530145e-05,3.0157370939524037e-07,6.921904277987779e-05,0.23033355055031954,0.20060978564951154,0.20500248085569453,9.223504041742396,1.134595214206782e-18,1.1151067829590366e-19,1.0230845297836145e-18
ConvVAE+NA,6,0.25644941869236176,0.22328404230730875,0.21840272843837738,11.234583524673704,3.620626825111339e-06,8.289307238083192e-12,3.620618509731208e-06,0.22093238687073743,0.1886131645352752,0.19273411852342112,13.045768963849103,1.3476633539132847e-09,1.7876287147241865e-19,1.3476633537791069e-09
ConvVAE+NA,7,0.22840930885738797,0.196130889039191,0.1900628538831832,12.655332813565693,2.4672366713015694e-05,1.6499749625917744e-09,2.4670716534490652e-05,0.19291895087118502,0.1641333951994225,0.16892790683993586,11.892751389962655,1.7123478485304324e-17,2.317444181459005e-19,1.6891733773049762e-17
ConvVAE+NA,8,0.19471580608496591,0.165530083198396,0.16364117061334943,12.62591775561136,7.827538596006529e-06,9.347009099641777e-10,7.826603940061648e-06,0.15366088273348633,0.12666743452902193,0.13283397213176446,13.709759789926034,1.1573627467603768e-08,1.1022521625080594e-11,1.1562604896635442e-08
ConvVAE+NA,9,0.17443366987364634,0.14453998591218675,0.143384237516494,15.251118535844107,1.2165581297484182e-05,8.432891922679468e-10,1.2164737860970605e-05,0.13035562739328102,0.10356188957337979,0.10801150092372187,15.987610781634295,1.9920108335320344e-07,4.852167260575394e-10,1.9871586877193232e-07
ConvVAE+NA,10,0.161800587413803,0.13276322181262667,0.1252361310379846,16.032677423386346,1.9243168843252258e-05,7.495761628679216e-10,1.9242419067369256e-05,0.11046968378402569,0.08614727827133956,0.08748908776927877,15.568348955225062,2.0592334557863242e-07,9.323724493183867e-14,2.0592325126066335e-07
ConvVAE+NA,11,0.14081169414141823,0.11249751678061863,0.10824840925042592,17.233018087962318,1.0252787499681174e-05,4.979244887325779e-11,1.0252737722891782e-05,0.10861081850749475,0.0820367717632541,0.08628997438483768,17.936591360304092,3.383470744666747e-07,1.581421491553925e-11,3.383312644170486e-07
ConvVAE+NA,12,0.12700261426350426,0.09816305119366873,0.09495073471750531,19.067075511387415,1.1096587987262793e-05,1.2100124880240086e-10,1.1096467001369179e-05,0.09497073000227964,0.06871863802274068,0.07091797684077863,19.135971789889865,9.727209883462988e-07,2.8581949985653946e-11,9.726923965276742e-07
ConvVAE+NA,13,0.12139362941185633,0.0922847457111828,0.08631195522963055,20.256652190193297,8.841304009813087e-06,5.893090862863225e-10,8.840714723653887e-06,0.08833683210390586,0.06096986143125428,0.06197091382410791,21.111601130167642,2.3310410410222934e-06,1.1187058193479705e-10,2.330929179910973e-06
ConvVAE+NA,14,0.10680403789830586,0.07813499917586644,0.0765063120259179,20.92032968430292,3.92321523274101e-06,9.457837800310145e-11,3.923120682826728e-06,0.08116065666631415,0.05470365067874944,0.055030238849145395,20.893695054230868,2.4113569414415298e-06,2.781942141430277e-19,2.4113569414415298e-06
ConvVAE+NA,15,0.09666931553492471,0.06877694763834515,0.06563419186406666,21.039163716634114,1.1591351219630312e-05,3.026978695999488e-10,1.1591048591764689e-05,0.07738418474241539,0.0519052572272442,0.05045895913132915,20.410258003517434,9.108625511721079e-07,2.039116782219918e-11,9.10842151542797e-07
ConvVAE+NA,16,0.08740057673246142,0.060647126760274644,0.06050473646748634,20.60710319034637,3.834796119022824e-06,1.5937296046155046e-10,3.834636727189054e-06,0.0719217367194317,0.04708900702772317,0.04563484454044589,20.25528923317238,5.582254022716303e-07,1.934206123543876e-12,5.582234485422709e-07
ConvVAE+NA,17,0.08467100406922991,0.058819947864801166,0.05646331620121759,20.145368079533654,2.374286469559939e-06,1.6475701447021393e-12,2.374284806483913e-06,0.06901754311941288,0.04434835107790099,0.04370423273907768,20.276412370469835,8.943162390130089e-07,4.1726883973317514e-19,8.943162390130089e-07
ConvVAE+NA,18,0.08040712787991479,0.05485344362400827,0.051306704124287957,20.36419910249256,2.352546898366979e-06,1.5835015034681586e-13,2.352546736679032e-06,0.06719097395737966,0.04225795426302486,0.04115369468927384,20.782571750217013,1.4028508455036596e-06,2.7296145843448237e-19,1.4028508455036596e-06
ConvVAE+NA,19,0.07404449030993476,0.04846534542148075,0.046483365682855486,20.875731840587797,2.203024716133465e-06,2.3227233145973316e-13,2.203024482263399e-06,0.06390057173040178,0.03926783849795659,0.037710990066881535,20.826293917055484,1.4134023988137616e-06,6.4425775710478554e-12,1.4133959312958824e-06
ConvVAE+NA,20,0.07307289673222436,0.04787186456341592,0.045167036744810284,20.617338198707216,2.679556547220619e-06,3.95015022179475e-16,2.679556547220619e-06,0.05747738499884252,0.03408868078280378,0.03188537952524644,20.16859937597204,1.2626310173665708e-06,3.0551566431263425e-19,1.2626310173665708e-06
ConvVAE+NA,21,0.06729034185409546,0.04292815419889632,0.040627029881117833,20.25292567298526,1.8623120013216976e-06,2.3037894352342864e-12,1.8623097030430226e-06,0.05439692423851402,0.031155458672179115,0.029352152996041155,20.285183009394892,8.426567024731344e-07,3.2342917468437624e-19,8.426567024731344e-07
ConvVAE+NA,22,0.0630078686253419,0.03897358361217711,0.036675893763701124,20.332888255043635,1.3521095864249102e-06,1.2064972031941475e-11,1.352097517574582e-06,0.05234924919075436,0.02914156154901893,0.027260460235454417,20.471066100509077,4.230328032564204e-07,3.494865688487791e-19,4.230328032564204e-07
ConvVAE+NA,23,0.060771019851404526,0.03702488584177835,0.03403849145249715,20.316408417716858,1.0350294317843705e-06,1.538702915106286e-13,1.035029275870993e-06,0.049906061230986204,0.026832271643258906,0.025136376199898898,20.549003699973778,4.458195268886845e-07,1.4034974237683235e-13,4.458193921487287e-07
ConvVAE+NA,24,0.05756042225966378,0.03407470719918372,0.03177181755503019,20.290631406269377,7.16060315837586e-07,1.8672970567755215e-11,7.160416408797096e-07,0.04983828536890171,0.026830492361828134,0.025653582507813417,20.433076321637188,3.7428995727640104e-07,2.1280313442698397e-19,3.7428995727640104e-07
ConvVAE+NA,25,0.05754843388521482,0.03409525601873322,0.03148353671625493,20.279595141940646,1.0091032658281273e-06,8.718317137086692e-12,1.0090945630104722e-06,0.04935131991902987,0.026438247522822134,0.024478815206223064,20.455039271601922,4.059938276070709e-07,5.572517065727794e-14,4.059937737110886e-07
ConvVAE+NA,26,0.05376514967471834,0.030480020895363794,0.028884198209123007,20.371150764586435,1.0222413009845666e-06,4.936021941346853e-13,1.0222408101461561e-06,0.04696600307469015,0.024136088443575083,0.02218769561085436,20.60243518970631,3.483313068702248e-07,3.586676288493416e-19,3.483313068702248e-07
ConvVAE+NA,27,0.05157613309602889,0.028503040023266323,0.025839377442995706,20.46811795915876,8.414491918619393e-07,1.6656148482646934e-11,8.414325398079532e-07,0.04403462398935248,0.021735114204110922,0.019965868070721628,20.298643253467702,1.7109844387058965e-07,5.132474333883155e-20,1.7109844387058965e-07
ConvVAE+NA,28,0.049582155711121026,0.026812373769898264,0.02515157794077245,20.239012079390267,6.244160667775427e-07,2.3932815329370776e-12,6.244136724515354e-07,0.04176068087970769,0.01967426272178138,0.018323930656468427,20.248319767139577,2.282012006718206e-07,2.448143524314924e-19,2.282012006718206e-07
ConvVAE+NA,29,0.05052601488100158,0.02807496680272004,0.024902380470718657,19.942231260027203,7.43139442001559e-07,5.031116918446927e-12,7.431344080205668e-07,0.04363709384644473,0.021609476401850028,0.020509288418624136,19.97338419313784,1.3210459018384734e-07,4.0975696903184516e-19,1.3210459018368118e-07
